Respondent,"1.1. Talked with City staff at a booth, event, festival, or at my door",1.2. Signed a petition,1.3. Participated in a grassroots protest or demonstration,1.4. Participated in Participatory Budgeting (Where residents identify ideas and vote on community projects),1.5. Participated in a City-led focus group,"1.6. Completed a City survey either online, by telephone, or in-person",1.7. Served on a City Council advisory committee,1.8. Made a written or verbal presentation to a City committee,1.9. Attended an open house,1.10. Called or emailed City staff directly,1.11. Watched a City Council or a committee meeting in-person or online,1.12. Helped plan an engagement activity with the City,1.13. Read and/or responded to social media posts by the City,"1.14. Received training, funding, or support to participate in a City-run community leadership program",1.15. Participated in an in-person or online consultation,1.16. Helped to design a space such as a community centre or the way a street is laid out,1.17. Submitted a compliment or complaint to the City through 311,1.18. Submitted feedback through the City's website,1.19. Called or emailed the Mayor or a City Councillor,1.20. This survey is the first time I am participating or getting involved with the City,3.1. The City considers my ideas,3.2. The City makes it clear where I can and cannot influence decisions,"3.3. The City communicates progress on projects, policy change or changes to services regularly",3.4. The City often uses technical or complex language that can be difficult to understand,3.5. I see people participating who have similar experiences or look like me,3.6. Some participants have less influence than others on decisions,"3.7. My community's strengths, abilities and ideas contribute to the solution",3.8. I understand the City<92>s reasoning for why a decision was made,"3.9. The City's engagement activities are relevant to me, my family and/or my community",3.10. The City creates spaces that are free of unwelcoming behaviour and offensive language,"7.1. I don't have regular internet access or data, which makes joining meetings harder","7.2. It is easier for people to say offensive things in virtual meetings (e.g. racist, sexist, homophobic, transphobic, and other oppressive language)",7.3. Virtual meetings are more convenient as I can join from anywhere,7.4. It is easy to connect with City staff during and/or after an virtual meeting to discuss my ideas or concerns,7.5. Logging into virtual activities is easy and I know where to get technical help,7.6. I have enough time to talk about the topic at virtual meetings,7.7. I can get to know other community members,7.8. I feel safe in a virtual environment,7.9. The software the City uses is easy to use,"7.10. The City should offer more hybrid meetings, where I can have options to attend meetings virtually or in-person"
248,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
250,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree
251,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,Neither agree nor disagree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Agree
253,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
254,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
255,0,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree
256,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Agree,Strongly Disagree,Strongly Agree
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,NA,NA,Disagree,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,Strongly disagree,Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree
262,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree
265,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree
266,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree
267,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,0,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree
269,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,Disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree
270,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
271,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,NA,NA
272,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
273,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
274,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Disagree
275,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree
276,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree
278,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,Strongly disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree
279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Disagree,Strongly agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree
283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree
285,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Agree
286,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree
287,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree
290,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree
291,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,NA,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
293,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Agree,Agree
294,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree
295,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
296,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
297,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Disagree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Strongly Agree
298,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
299,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree
300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree
301,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree
302,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
303,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,Neither agree nor disagree,Disagree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree
304,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Strongly disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
305,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
306,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disagree,Strongly Agree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Agree
309,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Strongly Agree
310,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
314,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Neither Agree nor Disagree
316,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
318,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Agree
320,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree
321,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Disagree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Neither Agree nor Disagree,Disagree
322,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
323,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree
324,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree
326,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree
327,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Disagree,Disagree,Agree,Strongly disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,NA,Strongly Disagree,Strongly Disagree,Strongly Agree,NA,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree
328,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,Disagree,Disagree,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Neither Agree nor Disagree,Agree
329,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,Disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
332,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
333,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Disagree,Strongly disagree,Agree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree
